,num,AF_1a_1,AF_1a_2,AF_1a_3,AF_1b_1,AF_1b_2,AF_1b_3,AF_2a_1,AF_2a_2,AF_2a_3,AF_2b_1,AF_2b_2,AF_2b_3,AF_3a_1,AF_3a_2,AF_3a_3,AF_3b_1,AF_3b_2,AF_3b_3,EXO_1a_1,EXO_1a_2,EXO_1a_3,EXO_1b_1,EXO_1b_2,EXO_1b_3,EXO_2a_1,EXO_2a_2,EXO_2a_3,EXO_2b_1,EXO_2b_2,EXO_2b_3,EXO_3a_1,EXO_3a_2,EXO_3a_3,EXO_3b_1,EXO_3b_2,EXO_3b_3,Ori_1a_1,Ori_1a_2,Ori_1a_3,Ori_1b_1,Ori_1b_2,Ori_1b_3,Ori_2a_1,Ori_2a_2,Ori_2a_3,Ori_2b_1,Ori_2b_2,Ori_2b_3,Ori_3a_1,Ori_3a_2,Ori_3a_3,Ori_3b_1,Ori_3b_2,Ori_3b_3,SEC_1a_1,SEC_1a_2,SEC_1a_3,SEC_1b_1,SEC_1b_2,SEC_1b_3,SEC_2a_1,SEC_2a_2,SEC_2a_3,SEC_2b_1,SEC_2b_2,SEC_2b_3,SEC_3a_1,SEC_3a_2,SEC_3a_3,SEC_3b_1,SEC_3b_2,SEC_3b_3
1,1,2915720,2996686,2624673,2606298,2970392,2827760,3349668,3619017,3370061,3066206,3068294,3197999,2603566,2892547,2625176,2515051,1270853,1768891,1621254,3055900,2158426,1664875,1400919,2248255,2616381,1738340,2194813,2948207,3690163,2759161,3756185,2761245,3139891,2328548,2899838,2642682,1520698,1497155,1171511,1168434,1645687,1816657,1683750,1427490,1790377,1310233,1620319,1584517,2103220,1536824,1763066,1763254,2197670,2072999,3559118,3916966,3790359,3739588,3727607,4133146,3317225,3737483,3697401,3340539,4170335,3432809,3472695,3573341,1709751,3645014,3747183,4639611
2,2,365932,368087,264346,277799,347242,364063,361880,351176,390028,324064,331799,333875,359552,326762,367083,302730,86213,147364,128398,269179,175568,126583,81193,165699,207247,132656,176355,247172,434652,241769,326966,171082,295764,225327,353632,238524,249466,236981,177143,177031,214431,263276,226083,187552,242256,202351,234471,221375,265928,239760,189569,262837,302515,264339,232560,258345,274406,271654,238640,295611,218083,302261,244386,244825,326339,242820,267834,255122,71814,232754,227622,344581
3,3,52358,50746,30532,36994,46177,52650,48653,40854,55947,44568,52008,40460,53930,52539,56663,39372,8055,14255,16159,31459,19981,13939,7048,17077,21369,13503,18716,27256,63275,27729,36122,14833,36971,29886,52320,27744,45975,41686,32335,33560,34097,44724,36197,30079,39072,41358,40340,36816,40548,42810,26324,44919,48129,40445,26343,29824,37597,31364,28813,34509,24587,43195,26420,30234,35696,30750,34055,34246,7363,25473,24919,41742
4,4,9504,9237,4760,6852,7835,9275,9397,6665,11774,9144,13187,6460,9669,12742,11230,6265,1578,2071,3436,5049,3219,2242,1178,2411,3163,2280,2749,4161,11487,4166,5001,1796,5650,5731,8876,4132,11194,10109,8767,9784,7996,10825,8183,7125,9347,11952,10063,8678,9020,11070,6058,10209,10465,8935,6489,7555,10660,7284,7213,8239,5538,11884,5429,6970,6817,7367,7959,8807,1477,5616,5889,9890
5,5,2400,2538,1243,1869,1907,2263,2871,1799,3862,2920,4510,1506,2465,4274,3335,1426,654,559,1222,1223,845,592,421,583,837,678,677,1166,2688,934,939,428,1202,1659,1932,867,3826,3576,3415,3984,2884,3780,2974,2680,3371,4892,3777,3005,3317,4423,2205,3252,3359,3049,2504,2877,4350,2714,2747,3133,2117,4976,1741,2394,2107,2691,2611,3089,510,1998,2102,3660
6,6,917,1035,421,711,701,839,1223,750,1829,1264,2009,499,967,1833,1324,518,339,274,605,524,365,264,208,197,355,294,298,565,876,356,279,205,421,658,558,301,1827,1761,1805,2338,1400,1799,1387,1407,1612,2535,1792,1440,1591,2226,1180,1472,1574,1366,1267,1492,2150,1331,1265,1450,951,2442,787,1094,941,1199,1227,1362,234,954,1054,1706
7,7,466,570,231,364,347,398,655,369,1142,645,993,234,451,1020,723,276,214,180,384,268,197,133,148,115,230,166,159,398,459,211,143,107,261,331,235,165,1034,1075,1102,1646,859,1005,844,734,982,1457,1081,806,974,1302,645,837,847,822,729,766,1239,752,763,823,554,1323,387,610,500,675,621,671,106,519,595,953
8,8,267,369,141,205,193,211,391,260,801,415,569,157,289,639,412,195,151,118,190,188,127,83,94,61,158,136,120,290,284,131,73,75,164,207,136,125,745,693,699,1168,554,639,565,553,644,929,737,476,649,937,467,534,543,552,411,476,736,488,480,510,370,795,217,374,348,428,429,329,66,312,388,599
9,9,205,268,83,131,128,156,292,166,598,247,345,96,198,462,283,123,102,92,170,140,112,66,70,44,149,108,78,221,189,78,46,65,125,119,113,89,489,475,511,847,371,462,381,397,420,583,493,364,474,630,331,376,415,346,266,309,485,309,325,336,262,534,127,220,245,264,261,239,46,221,266,390
10,10,142,203,58,93,69,107,176,168,489,175,205,56,165,374,201,96,60,52,103,101,83,34,54,24,80,88,66,191,160,67,31,39,91,88,84,68,370,376,383,736,295,340,326,260,323,412,346,247,327,462,214,265,307,271,196,210,348,233,227,279,188,400,113,185,167,204,193,148,41,121,184,294
11,11,109,143,43,77,50,79,134,112,377,137,160,40,102,309,145,76,48,37,70,71,53,26,39,18,78,71,44,152,108,42,32,34,83,57,57,74,278,287,279,590,229,245,232,241,239,280,278,167,250,414,177,234,230,182,142,142,243,153,177,182,136,250,82,119,124,133,148,104,12,103,130,176
12,12,84,111,37,56,39,54,91,94,302,100,108,39,80,231,112,49,36,39,48,63,49,26,28,18,63,45,46,138,94,54,21,29,77,45,55,53,219,228,185,462,172,199,202,211,173,248,228,153,199,304,119,171,175,160,111,110,161,121,133,131,115,224,53,95,98,116,103,47,16,92,116,136
13,13,61,90,29,39,28,45,86,61,253,74,69,31,74,211,93,48,34,36,63,46,31,15,21,5,52,42,39,104,70,41,10,23,64,32,48,40,182,187,172,389,159,161,162,152,163,178,161,109,170,238,98,118,162,122,91,78,135,102,128,119,88,168,43,78,85,95,82,57,6,62,94,110
14,14,59,88,28,38,26,35,76,62,220,59,41,17,63,162,72,39,31,18,43,33,30,9,18,10,40,28,32,91,50,18,12,17,48,21,37,41,161,141,160,345,126,115,140,123,123,129,120,95,148,191,85,103,126,98,82,79,115,76,84,90,81,148,34,50,52,89,68,35,11,52,62,85
15,15,32,74,25,21,24,33,67,55,197,40,44,15,58,156,47,28,19,17,33,36,37,9,13,6,28,35,33,73,42,21,12,17,28,19,32,37,130,121,130,276,90,106,99,85,90,98,112,88,116,151,89,94,100,88,70,64,85,72,88,73,65,120,31,39,52,52,44,21,3,39,27,62
16,16,33,74,8,21,14,24,55,50,159,36,32,6,52,145,43,28,18,9,31,20,17,6,13,7,27,25,18,67,34,17,10,7,28,25,32,48,100,92,89,244,98,80,94,101,89,88,108,69,103,135,58,70,77,80,46,49,83,45,68,65,47,89,18,34,33,52,43,23,1,48,47,55
17,17,23,51,12,16,9,22,46,45,113,22,24,6,33,115,23,11,12,7,18,15,20,8,2,5,18,18,12,57,31,19,3,12,33,17,19,20,87,105,97,209,83,82,68,70,67,72,66,71,92,100,33,82,67,65,37,47,61,49,47,58,41,70,15,34,34,47,28,10,5,32,43,41
18,18,13,41,6,20,5,16,33,28,132,22,18,9,38,120,29,19,11,9,17,9,14,1,5,5,15,18,12,31,19,13,8,7,26,17,16,23,91,65,88,204,62,57,80,76,68,65,57,51,75,108,41,66,61,71,45,43,47,36,47,47,31,57,14,28,25,37,31,12,2,29,33,34
19,19,20,38,9,15,8,16,19,29,118,16,16,11,29,89,28,17,11,11,16,20,13,3,5,3,10,11,7,28,24,15,2,7,17,7,19,25,70,55,64,152,48,62,48,48,65,62,70,39,66,91,25,47,54,48,21,41,36,26,55,43,18,58,18,24,16,29,18,10,2,19,30,27
20,20,15,44,4,15,4,6,33,30,93,5,17,4,21,94,23,12,7,6,11,13,6,4,4,3,12,24,13,33,18,11,1,5,34,12,16,12,72,51,64,162,72,57,45,57,37,56,51,47,50,81,30,50,47,45,23,26,34,23,32,33,20,40,9,14,18,33,14,9,1,18,16,28
21,21,19,32,6,18,4,12,16,19,76,8,6,2,16,70,18,9,13,0,3,11,7,2,5,1,11,17,8,27,12,7,0,7,23,4,9,15,52,70,52,161,47,53,40,41,41,31,37,50,46,67,41,37,33,32,26,24,41,22,26,26,18,37,11,13,14,18,11,8,2,22,22,20
22,22,7,25,3,10,4,7,21,22,77,8,7,3,12,57,17,9,7,4,9,5,5,5,2,1,6,12,7,25,15,6,1,4,14,5,6,9,44,47,48,133,47,40,32,40,38,53,46,41,25,67,23,33,39,35,21,15,29,18,21,35,14,40,7,11,15,22,14,7,1,15,20,19
23,23,11,31,0,10,2,6,17,17,62,6,7,2,4,72,19,6,6,3,6,3,4,3,4,1,5,6,6,25,14,2,3,8,15,8,8,9,39,43,45,124,25,31,27,31,37,37,34,43,36,53,23,29,36,20,14,18,22,12,25,24,14,19,8,7,15,15,13,2,3,14,9,8
24,24,8,23,4,4,6,3,22,26,66,8,5,2,11,56,8,7,6,2,7,6,5,0,2,1,9,3,4,15,9,4,0,3,12,4,6,11,38,43,39,95,28,39,31,25,27,39,35,37,35,55,15,31,24,15,12,15,24,16,22,23,10,20,4,8,10,13,12,8,0,12,17,11
25,25,5,23,0,11,2,5,20,19,50,4,2,2,13,53,6,7,8,1,3,8,3,2,0,1,3,3,3,10,6,1,1,7,12,6,7,16,40,26,39,93,23,23,20,24,17,26,27,20,25,39,14,19,26,27,12,16,30,11,23,21,9,23,1,10,5,13,16,10,0,7,16,8
26,26,9,15,1,7,2,3,11,13,56,4,4,1,5,41,5,5,8,1,8,7,6,2,1,1,3,6,5,18,6,0,0,6,12,4,5,12,27,24,46,81,19,31,16,15,20,25,19,19,19,46,10,18,12,26,13,9,23,5,13,13,4,19,1,4,10,10,11,2,0,7,13,11
27,27,9,18,2,17,3,5,17,15,43,3,4,1,6,51,6,0,7,0,1,2,3,0,2,1,3,1,4,21,7,3,1,7,7,5,2,6,29,22,36,83,20,24,25,14,12,24,26,23,22,39,7,15,24,11,8,10,23,8,10,11,17,18,4,5,11,12,4,2,1,9,8,5
28,28,3,16,2,11,1,2,21,14,31,1,3,2,10,46,6,4,9,0,4,3,4,1,1,2,3,7,0,13,11,1,2,4,12,2,2,4,37,20,27,70,19,23,13,13,10,15,24,15,23,38,14,25,18,16,11,11,12,10,13,10,6,12,0,5,10,14,3,8,1,7,7,9
29,29,4,13,2,9,0,1,16,16,33,5,1,0,2,32,5,4,3,0,3,2,2,0,0,0,1,7,1,15,9,4,0,7,7,2,2,5,23,25,25,49,19,28,13,13,15,14,16,19,13,29,6,12,13,7,4,14,18,11,10,11,5,15,1,9,3,7,3,2,0,5,10,6
30,30,5,11,3,9,4,3,7,17,28,0,1,1,4,41,4,0,6,0,3,6,1,0,1,0,1,4,1,10,7,2,0,4,14,0,2,5,19,15,23,44,16,14,13,11,16,20,22,17,22,32,13,16,11,6,12,5,18,12,8,15,6,10,4,7,5,7,3,6,0,4,4,5
31,31,1,16,2,5,1,1,9,19,35,3,1,3,3,22,4,2,1,0,2,1,2,1,0,0,7,2,0,13,5,4,1,5,8,3,4,3,19,10,17,43,14,32,14,7,17,15,12,15,10,28,11,19,7,11,6,5,7,8,13,10,6,17,2,5,4,5,4,1,0,3,7,9
32,32,2,14,3,4,1,1,6,5,25,4,1,1,4,20,3,0,2,0,2,1,1,0,0,0,3,1,0,10,2,2,0,3,7,1,3,5,14,17,13,36,5,14,13,10,13,10,17,9,10,24,8,18,8,7,5,4,4,2,4,5,4,17,2,3,2,8,3,3,0,2,6,3
33,33,4,5,0,1,0,2,12,11,25,2,0,1,5,21,3,0,2,0,0,1,2,1,0,0,0,1,1,5,2,1,1,1,3,2,2,4,14,12,18,27,12,13,10,4,10,6,16,7,15,36,6,14,8,4,5,7,12,4,7,11,6,14,1,2,1,3,5,3,1,8,6,2
34,34,1,6,1,3,1,0,10,10,25,1,1,0,4,17,4,0,2,1,2,0,3,1,0,0,0,4,1,9,2,2,0,1,8,2,1,3,17,11,9,42,8,15,10,9,7,11,13,7,10,28,4,12,9,5,3,7,3,3,10,4,5,9,0,2,5,9,1,4,0,3,7,11
35,35,2,12,0,5,2,1,6,10,15,2,2,0,3,23,3,0,3,0,5,1,1,0,0,1,2,0,0,13,2,0,0,1,7,1,1,3,9,14,15,30,11,7,8,4,12,8,11,4,5,16,5,11,7,7,7,3,3,6,5,11,4,8,1,0,1,7,2,0,0,2,7,5
36,36,2,9,0,3,1,1,4,8,24,2,0,2,2,23,1,1,4,0,1,1,0,0,0,0,2,0,0,7,3,0,0,5,4,0,1,1,9,7,20,35,6,11,5,3,8,10,14,10,7,14,6,13,4,6,5,3,5,1,6,9,6,12,2,4,0,2,2,1,0,3,5,1
37,37,3,8,0,3,0,1,7,7,18,3,3,1,2,18,3,0,5,0,0,1,3,0,0,0,1,0,0,8,1,0,1,2,4,0,1,1,11,6,10,22,9,14,7,10,9,13,11,8,10,16,4,7,8,5,5,8,3,2,7,9,4,9,2,3,2,2,3,0,1,6,5,2
38,38,1,6,0,3,0,0,4,6,11,0,1,0,1,19,2,0,1,0,1,2,1,0,0,0,0,2,0,6,1,3,0,1,3,0,3,1,12,13,13,24,10,9,6,6,8,6,12,7,6,11,4,6,4,5,4,3,4,4,4,6,6,7,2,2,0,5,0,2,0,4,3,6
39,39,1,7,1,4,1,0,7,12,14,1,1,0,0,10,1,1,0,0,1,0,0,1,0,0,0,1,1,5,3,2,1,5,10,0,0,2,11,8,6,18,4,9,5,3,5,7,9,3,7,14,3,3,3,3,1,2,7,7,4,3,2,7,0,0,0,3,1,1,0,2,7,1
