"","protein","avg_percent","avg_percent_all","FC","cate","log2FC","spec","new_column","spec1","source","Sum","Mean","F","pvalue","qvalue"
"1","CD151",0.382067914504225,0.0979592255903486,3.90027495829723,"AF4",1.96357583345927,"spec",NA,"spec","method1","1.937254662","0.6457515540","1298.557706",3.015068e-57,5.51126383255814e-56
"2","CD81",0.053702065558606,0.014722977692307,3.64750030061284,"AF4",1.86690809704451,"spec","CD81","marker","method1","3.647279e-02","1.215760e-02","2598.819308",8.948986e-67,7.81544777333333e-65
"3","ITGA4",0.0198786665866656,0.00560254815284453,3.54814738657317,"AF4",1.82706593902506,"spec","ITGA4","marker","method1","4.893926e-03","1.631309e-03","2771.9633281",1.15501e-67,1.76592585e-65
"4","CDH15",0.0390701793205155,0.0112987522615281,3.45791981416817,"AF4",1.78990441465885,"spec",NA,"spec","method1","1.856230e-02","6.187434e-03","1062.823116",1.632375e-54,2.33281227272727e-53
"5","AQP1",0.0365577220801369,0.0117464657630129,3.11223161227349,"AF4",1.63794942968288,"spec",NA,"spec","method1","1.485129e-02","4.950431e-03","2195.698239",1.875903e-64,9.2153734875e-63
"6","DSC3",0.0101484052958888,0.00354798940789518,2.8603257025813,"AF4",1.51617943467671,"spec",NA,"spec","method1","1.082866e-03","3.609553e-04","1721.945892",4.107819e-61,1.3453107225e-59
"7","MADCAM1",0.00940569880053365,0.00337481199424345,2.78702897126635,"AF4",1.47872799938648,"spec",NA,"spec","method1","9.357717e-04","3.119239e-04","669.37945391",2.991047e-48,2.13723903818182e-47
"8","ITGB1",0.0197853953908925,0.00720135339115643,2.74745514019486,"AF4",1.45809592537951,"spec","ITGB1","marker","method1","3.820702e-03","1.273567e-03","2943.5616106",1.714462e-68,3.36891783e-66
"9","SIGLEC5",0.00564380074499426,0.0022925163503727,2.46183663818874,"AF4",1.29973503107727,"spec",NA,"spec","method1","2.753640e-04","9.178799e-05","335.07135",4.621387e-39,2.06386942159091e-38
"10","SIGLEC10",0.0150266626475396,0.00615259544151429,2.44232906102488,"AF4",1.28825759128609,"spec",NA,"spec","method1","1.981120e-03","6.603733e-04","2117.5627090",5.912429e-64,2.44587852315789e-62
