"","PBA_cluster","MS_protein","Pearson_corr","p_value"
"1","c14","SNX6",1,0.0166666666666667
"2","c0","C4A",0.885714285714286,0.0333333333333333
"3","c4","PGLYRP2",1,0.00277777777777778
"4","c2","CFP",0.885714285714286,0.0333333333333333
"5","c7","ITGB3",0.942857142857143,0.0166666666666667
"6","c13","ITGB3",0.885714285714286,0.0333333333333333
"7","c2","HLA-A",0.942857142857143,0.0166666666666667
"8","c10","OIT3",0.885714285714286,0.0333333333333333
"9","c14","LCAT",0.942857142857143,0.0166666666666667
"10","c4","HPX",0.811679449913428,0.0498575851013404
"11","c7","IGLV4-69",0.885714285714286,0.0333333333333333
"12","c4","DBH",0.942857142857143,0.0166666666666667
"13","c2","IGLV5-52",0.885714285714286,0.0333333333333333
"14","c12","APOE",0.942857142857143,0.0166666666666667
"15","c7","WDR1",0.942857142857143,0.0166666666666667
"16","c13","WDR1",0.885714285714286,0.0333333333333333
"17","c11","VTN",0.942857142857143,0.0166666666666667
"18","c2","SERPINF2",0.942857142857143,0.0166666666666667
"19","c4","PROCR",0.942857142857143,0.0166666666666667
"20","c7","DSG2",0.885714285714286,0.0333333333333333
"21","c2","IGKV1-16",0.885714285714286,0.0333333333333333
"22","c7","CD36",0.942857142857143,0.0166666666666667
"23","c13","CD36",0.885714285714286,0.0333333333333333
"24","c7","MCAM",0.942857142857143,0.0166666666666667
"25","c9","CTPS1",0.898645105261295,0.0148886220055804
"26","c2","MASP2",0.942857142857143,0.0166666666666667
"27","c12","LAMC1",0.885714285714286,0.0333333333333333
"28","c4","IGKC",0.885714285714286,0.0333333333333333
"29","c13","NEO1",0.885714285714286,0.0333333333333333
"30","c4","IGLV8-61",0.885714285714286,0.0333333333333333
"31","c4","IGLV2-11",0.942857142857143,0.0166666666666667
"32","c7","HSP90B1",0.885714285714286,0.0333333333333333
"33","c7","DDX21",0.885714285714286,0.0333333333333333
"34","c12","JCHAIN",0.942857142857143,0.0166666666666667
"35","c13","VCAN",0.885714285714286,0.0333333333333333
