"","PBA_cluster","MS_protein","Pearson_corr","p_value"
"1","c3","CA1",0.942857142857143,0.0166666666666667
"2","c3","CORO1A",0.885714285714286,0.0333333333333333
"3","c1","PTPRS",0.942857142857143,0.0166666666666667
"4","c5","PTPRS",0.885714285714286,0.0333333333333333
"5","c7","PTPRS",0.885714285714286,0.0333333333333333
"6","c3","EPB42",0.885714285714286,0.0333333333333333
"7","c4","EPB42",0.942857142857143,0.0166666666666667
"8","c9","EPB42",0.942857142857143,0.0166666666666667
"9","c7","CFP",0.885714285714286,0.0333333333333333
"10","c14","USP5",0.942857142857143,0.0166666666666667
"11","c3","SLC44A1",0.885714285714286,0.0333333333333333
"12","c4","SLC44A1",0.942857142857143,0.0166666666666667
"13","c9","SLC44A1",0.942857142857143,0.0166666666666667
"14","c3","TPM3",0.942857142857143,0.0166666666666667
"15","c4","TPM3",0.885714285714286,0.0333333333333333
"16","c9","TPM3",0.885714285714286,0.0333333333333333
"17","c3","OIT3",1,0.00277777777777778
"18","c13","LCAT",0.942857142857143,0.0166666666666667
"19","c9","GSN",0.942857142857143,0.0166666666666667
"20","c9","PSMB5",1,0.0166666666666667
"21","c3","HPX",0.942857142857143,0.0166666666666667
"22","c11","IGHV1OR15-9",0.942857142857143,0.0166666666666667
"23","c1","DBH",0.942857142857143,0.0166666666666667
"24","c2","DBH",0.885714285714286,0.0333333333333333
"25","c5","DBH",0.885714285714286,0.0333333333333333
"26","c8","DBH",0.885714285714286,0.0333333333333333
"27","c3","FERMT3",0.885714285714286,0.0333333333333333
"28","c3","APOL1",0.885714285714286,0.0333333333333333
"29","c3","PNP",0.885714285714286,0.0333333333333333
"30","c3","EPB41",0.885714285714286,0.0333333333333333
"31","c4","EPB41",0.942857142857143,0.0166666666666667
"32","c9","EPB41",0.942857142857143,0.0166666666666667
"33","c4","HEG1",0.885714285714286,0.0333333333333333
"34","c9","HEG1",0.885714285714286,0.0333333333333333
"35","c3","LDHB",0.942857142857143,0.0166666666666667
"36","c7","BCHE",0.942857142857143,0.0166666666666667
"37","c1","THBS4",0.885714285714286,0.0333333333333333
"38","c2","THBS4",0.942857142857143,0.0166666666666667
"39","c8","THBS4",0.942857142857143,0.0166666666666667
"40","c2","IGKV1-17",0.811679449913428,0.0498575851013404
"41","c8","IGKV1-17",0.811679449913428,0.0498575851013404
"42","c9","ANK1",0.942857142857143,0.0166666666666667
"43","c3","GNAI2",0.885714285714286,0.0333333333333333
"44","c4","GNAI2",0.942857142857143,0.0166666666666667
"45","c9","GNAI2",0.942857142857143,0.0166666666666667
"46","c7","FBLN1",0.942857142857143,0.0166666666666667
"47","c3","CD36",0.942857142857143,0.0166666666666667
"48","c4","MTTP",0.885714285714286,0.0333333333333333
"49","c3","LAMC1",0.942857142857143,0.0166666666666667
"50","c13","IGKC",1,0.00277777777777778
"51","c14","PLTP",0.885714285714286,0.0333333333333333
"52","c2","FGFBP2",0.885714285714286,0.0333333333333333
"53","c8","FGFBP2",0.885714285714286,0.0333333333333333
"54","c3","CLIC1",0.942857142857143,0.0166666666666667
"55","c3","PDCD6IP",0.885714285714286,0.0333333333333333
"56","c4","PDCD6IP",0.942857142857143,0.0166666666666667
"57","c9","PDCD6IP",0.942857142857143,0.0166666666666667
"58","c3","COLEC10",0.885714285714286,0.0333333333333333
"59","c7","IGHA1",0.942857142857143,0.0166666666666667
"60","c3","GDI2",0.942857142857143,0.0166666666666667
"61","c3","APOC4",0.885714285714286,0.0333333333333333
"62","c4","APOC4",0.942857142857143,0.0166666666666667
"63","c9","APOC4",0.942857142857143,0.0166666666666667
"64","c3","TF",0.942857142857143,0.0166666666666667
"65","c6","AHSG",0.942857142857143,0.0166666666666667
"66","c7","CDH5",0.885714285714286,0.0333333333333333
"67","c4","IGHV6-1",0.942857142857143,0.0166666666666667
"68","c9","IGHV6-1",0.942857142857143,0.0166666666666667
"69","c9","PSMA6",0.885714285714286,0.0333333333333333
"70","c3","SLC2A1",0.942857142857143,0.0166666666666667
"71","c3","STOM",0.942857142857143,0.0166666666666667
"72","c7","CPN1",0.942857142857143,0.0166666666666667
"73","c9","GPS1",0.885714285714286,0.0333333333333333
"74","c4","IGHV1-3",0.885714285714286,0.0333333333333333
"75","c9","IGHV1-3",1,0.00277777777777778
"76","c2","C1S",0.885714285714286,0.0333333333333333
"77","c8","C1S",0.885714285714286,0.0333333333333333
"78","c7","PTPRF",0.942857142857143,0.0166666666666667
"79","c7","SERPING1",0.885714285714286,0.0333333333333333
"80","c7","HGFAC",0.885714285714286,0.0333333333333333
"81","c12","IGLL5",0.885714285714286,0.0333333333333333
"82","c1","CFHR2",1,0.0166666666666667
"83","c4","IGKV3-7",0.885714285714286,0.0333333333333333
"84","c3","ITGA2B",0.942857142857143,0.0166666666666667
"85","c3","GLIPR2",0.885714285714286,0.0333333333333333
"86","c3","THBS1",0.942857142857143,0.0166666666666667
"87","c12","IGKV2-30",0.942857142857143,0.0166666666666667
"88","c3","ALDOA",0.942857142857143,0.0166666666666667
"89","c13","RAB6A",1,0.0166666666666667
"90","c7","IGHD",0.942857142857143,0.0166666666666667
"91","c4","ANPEP",0.885714285714286,0.0333333333333333
"92","c9","ANPEP",1,0.00277777777777778
"93","c3","ALDH16A1",0.942857142857143,0.0166666666666667
"94","c1","LYVE1",1,0.0166666666666667
"95","c2","LYVE1",1,0.0166666666666667
"96","c8","LYVE1",1,0.0166666666666667
"97","c3","P4HB",0.885714285714286,0.0333333333333333
"98","c3","PLOD1",0.885714285714286,0.0333333333333333
"99","c7","OLFM1",0.942857142857143,0.0166666666666667
"100","c3","GNB2",0.885714285714286,0.0333333333333333
"101","c4","GNB2",0.942857142857143,0.0166666666666667
"102","c9","GNB2",0.942857142857143,0.0166666666666667
"103","c3","SLC4A1",0.885714285714286,0.0333333333333333
"104","c4","SLC4A1",0.942857142857143,0.0166666666666667
"105","c9","SLC4A1",0.942857142857143,0.0166666666666667
"106","c3","CAMP",0.942857142857143,0.0166666666666667
"107","c4","SAA4",0.942857142857143,0.0166666666666667
"108","c9","SAA4",0.942857142857143,0.0166666666666667
"109","c3","CD47",1,0.0166666666666667
"110","c3","ALDH1A1",1,0.0166666666666667
"111","c3","CAT",0.885714285714286,0.0333333333333333
"112","c4","CAT",0.942857142857143,0.0166666666666667
"113","c9","CAT",0.942857142857143,0.0166666666666667
"114","c7","IGHA2",0.942857142857143,0.0166666666666667
"115","c4","COLEC11",0.942857142857143,0.0166666666666667
"116","c7","CFH",0.942857142857143,0.0166666666666667
"117","c3","PRDX2",0.885714285714286,0.0333333333333333
"118","c3","CDC42",0.885714285714286,0.0333333333333333
"119","c3","ALAD",0.942857142857143,0.0166666666666667
"120","c7","IGLV2-18",0.942857142857143,0.0166666666666667
"121","c3","PSMD2",1,0.0166666666666667
"122","c4","TFRC",0.885714285714286,0.0333333333333333
"123","c9","TFRC",1,0.00277777777777778
"124","c9","VCP",0.942857142857143,0.0166666666666667
"125","c7","C7",0.942857142857143,0.0166666666666667
"126","c4","CZIB",0.869656553478673,0.0243768916856908
"127","c9","CZIB",0.927633657043918,0.00766584418747316
"128","c1","EXTL2",1,0.0166666666666667
"129","c2","EXTL2",1,0.0166666666666667
"130","c8","EXTL2",1,0.0166666666666667
"131","c3","GAPDH",1,0.00277777777777778
"132","c1","IGHV3-73",0.942857142857143,0.0166666666666667
"133","c5","IGHV3-73",0.885714285714286,0.0333333333333333
"134","c7","IGHV3-73",0.885714285714286,0.0333333333333333
"135","c13","APOD",0.885714285714286,0.0333333333333333
"136","c3","ACLY",0.942857142857143,0.0166666666666667
"137","c9","C1QB",0.885714285714286,0.0333333333333333
"138","c9","IGHV7-4-1",0.942857142857143,0.0166666666666667
"139","c3","ILK",0.942857142857143,0.0166666666666667
"140","c3","YWHAB",1,0.0166666666666667
"141","c3","GC",0.885714285714286,0.0333333333333333
"142","c9","NID1",0.885714285714286,0.0333333333333333
"143","c3","MPP1",0.942857142857143,0.0166666666666667
"144","c2","CD248",1,0.0166666666666667
"145","c8","CD248",1,0.0166666666666667
"146","c9","CD14",0.942857142857143,0.0166666666666667
"147","c4","IGHV1-45",0.885714285714286,0.0333333333333333
"148","c4","IGKV4-1",0.885714285714286,0.0333333333333333
