"","AF4_1_a","AF4_1_b","AF4_2_a","AF4_2_b","AF4_3_a","AF4_3_b","MF_1_b","MF_1_a","MF_2_a","MF_2_b","MF_3_a","MF_3_b","SEC_1_a","SEC_1_b","SEC_2_a","SEC_2_b","SEC_3_a","SEC_3_b"
"PLS1",21.3719409159285,21.4829201903301,20.6770847309986,20.7407747235774,20.9288494136729,21.5904449669579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPS16",24.66329489204,24.9261482935399,23.8556684549649,24.1672956291622,24.1923470012176,24.9042612233284,17.6330519771591,NA,NA,15.3944191505015,NA,14.9370795127572,NA,NA,17.4847049090993,NA,NA,20.0661562159303
"LAMP2",22.1533621479502,22.4834128319421,21.5030808371557,21.9075482907759,21.9559584664809,22.40387228795,19.8698859815749,19.3252527445944,19.0745797440212,18.689902450842,19.6820790342056,19.5180748892253,15.7718762959548,16.1560692467071,16.1370211412215,13.8423994539287,17.1475130073053,15.6945564944351
"ADGRG6",NA,NA,NA,NA,NA,NA,20.0956532774491,20.4482524471984,19.9038333134983,19.8819981626973,19.9049124026179,20.1621860058805,16.8876371202033,17.5926468223429,NA,17.4219415350899,NA,17.9418385418778
"ISOC1",21.3920044786911,21.5419506744324,20.7422049792972,20.8693626506202,20.7355337129996,21.4992279094491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SCRN2",20.8751823881412,21.145210115279,20.3021197862654,20.3144958433793,20.3471228215436,21.1934423411618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SNRNP200",23.0542412881483,23.383109402342,22.29614100162,22.660577439662,22.7614181291689,23.3698614209033,NA,NA,21.1394614209655,20.6005953348338,21.304520667236,NA,NA,NA,NA,NA,NA,NA
"CHMP5",22.1425807628097,22.3671971633763,21.6757296648946,21.7097771457223,21.6051249933143,22.1518985242037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IGLV3-19",23.6163873068774,23.9051798448436,24.0434345331917,23.9405573525514,23.8463084442308,24.535639892993,23.4796009361609,23.6032309482318,23.1695906284233,23.2650674414594,23.6832465150118,23.7118786683676,25.7558272659275,25.6056902019566,25.5282056034262,25.4907544351119,25.6466382487042,25.1561491354076
"EPHX1",19.5198341353498,19.854460571477,19.8916810736461,19.5821603622576,15.9839955931916,20.3070962789955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ECM2",21.0088115682566,21.6275623824341,NA,21.4626380620501,NA,21.8876252217366,22.032546217049,22.4195693401582,22.312851941828,22.6028619418057,22.6408592050475,22.3017328498644,NA,NA,NA,NA,NA,NA
"LAMB1",25.6784187524222,25.7820679830823,25.1261284553468,25.2162307548073,25.0442687020735,25.5754247590989,21.4222983628773,22.3834332470727,22.1953878281833,22.3579103551747,22.5071047908448,22.3643692714168,21.5607213906922,21.2540557444666,21.251474898105,21.4983087255929,21.2936877360498,20.9007430097011
